from,to,line,7_in,7_out,8_in,8_out
군자(능동),어린이대공원(세종대),7,19740,16846,34986,69312
어린이대공원(세종대),건대입구,7,79083,50751,137446,125411
건대입구,뚝섬유원지,7,23554,7283,34892,15741
뚝섬유원지,청담,7,13888,63872,20487,170520
청담,강남구청,7,16098,46268,24042,173646
강남구청,학동,7,10011,50842,14419,193689
학동,논현,7,10513,45859,18569,128661
논현,반포,7,10865,13662,15700,25469
반포,고속터미널,7,58586,128065,102393,195138
고속터미널,내방,7,19595,23485,32709,87813
내방,총신대입구(이수),7,54564,20915,75615,47807
총신대입구(이수),남성,7,43291,7520,65748,18139
남성,숭실대입구(살피재),7,44012,10400,64161,42384
숭실대입구(살피재),상도,7,36553,9291,50701,30177
상도,장승배기,7,35158,9565,52326,21421
장승배기,신대방삼거리,7,57124,15549,91609,38654
신대방삼거리,보라매,7,22448,20964,34230,47863
보라매,신풍,7,40233,12838,53767,23694
신풍,대림(구로구청),7,98736,33048,139323,88218
대림(구로구청),남구로,7,34718,27374,41695,109859
남구로,가산디지털단지,7,39589,150765,42493,584401
가산디지털단지,철산,7,100670,17069,110946,35004
철산,광명사거리,7,101188,18293,126107,31110
광명사거리,천왕,7,48374,7478,57881,14649
천왕,온수(성공회대입구),7,78884,28165,90989,44455
온수(성공회대입구),까치울,7,35020,5831,44152,11427
까치울,부천종합운동장,7,22111,6064,26437,12479
부천종합운동장,춘의,7,26941,28410,28287,55214
춘의,신중동,7,51771,14533,50667,47081
신중동,부천시청,7,46939,15958,45220,29462
부천시청,상동,7,47572,13724,44144,32286
상동,삼산체육관,7,28710,3316,27169,8203
삼산체육관,굴포천,7,42105,5657,42605,12507
굴포천,부평구청,7,72582,12423,59369,14166
부평구청,산곡,7,,,,
산곡,석남,7,,,,
암사,천호(풍납토성),8,84337,41961,114058,74516
천호(풍납토성),강동구청,8,35049,14360,47183,35575
강동구청,몽촌토성(평화의문),8,9801,9808,15082,31200
몽촌토성(평화의문),잠실(송파구청),8,139697,135249,211092,304565
잠실(송파구청),석촌,8,40829,13103,54796,32760
석촌,송파,8,37519,15091,44415,21672
송파,가락시장,8,36438,24881,44133,73533
가락시장,문정,8,26388,37989,35669,165125
문정,장지,8,56611,20446,66613,55600
장지,복정,8,37879,13388,48745,24104
복정,산성,8,21978,4805,28850,13149
산성,남한산성입구(성남병원.검찰청),8,,,,
남한산성입구(성남병원.검찰청),단대오거리,8,41487,12014,50555,23186
단대오거리,신흥,8,14058,3483,18298,5907
신흥,수진,8,16753,4927,24307,14498
수진,모란,8,74478,31374,97548,53757
개화,김포공항,9,27136,63092,39285,69762
김포공항,공항시장,9,9241,2070,10667,4307
공항시장,신방화,9,30813,5917,31191,11608
신방화,마곡나루,9,39428,26637,43429,73742
마곡나루,양천향교,9,29347,10349,30542,32859
양천향교,가양,9,80959,27183,88507,44796
가양,중미,9,,,,
중미,등촌,9,38662,7583,44668,19233
등촌,염창,9,82457,9203,92715,24550
염창,신목동,9,20735,3630,19627,5710
