사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201911,9호선2~3단계,삼성중앙,3,0,1081,365,2445,3369,5523,9555,6942,37411,6006,27755,5894,10749,6425,8239,7506,8197,8639,7802,9491,8481,9863,7734,12159,8636,19128,9923,37178,13080,18436,9659,10393,5884,9243,4825,7132,4525,2886,3111,549,1102,0,27,0,0,0,0,20191203
201911,9호선2~3단계,삼전,1,1,3294,307,6001,2216,16261,3087,26295,8056,17660,6419,10598,5612,9180,5396,9486,5702,9761,7270,8282,7328,8097,8000,8785,10897,10419,14489,12317,21949,6827,20170,5307,12464,4234,11585,3671,11762,1748,8960,391,3203,1,124,0,0,0,0,20191203
201911,9호선2~3단계,석촌,6,0,2876,203,8175,1713,22037,4497,27366,8786,18710,8757,11988,7282,10685,6501,11256,7825,11715,8760,10578,8532,10699,9877,12365,10330,14130,14382,15177,23713,9571,20440,8117,12087,8143,12172,6996,12192,3217,7685,674,2240,0,15,0,0,0,0,20191203
201911,9호선2~3단계,석촌고분,5,1,2160,270,4828,1803,13957,3850,22520,8964,14607,7876,9021,4794,8771,5180,9260,5373,8655,7271,7740,7058,8079,7352,8732,9505,10115,11930,11525,17650,6106,16955,4444,11069,3861,10149,3346,10013,1559,6809,272,2188,1,54,0,0,0,0,20191203
201911,9호선2~3단계,선정릉,5,1,1037,968,4064,5504,9710,15246,10928,51557,8539,42511,7415,21571,8718,13775,11268,13842,12250,15103,12993,12862,14108,12477,17368,12390,24629,14137,49790,17270,29361,12893,16059,8236,15307,8144,11906,7596,4833,4864,841,1939,5,38,0,0,0,0,20191203
201911,9호선2~3단계,송파나루,6,0,1583,208,2882,1770,9960,2654,13737,7989,9169,6089,5721,5021,5498,5025,6166,6282,6468,6674,6221,6703,6603,7057,6995,8092,8096,11174,11254,17281,6497,13934,5845,6995,5436,6318,4539,6339,1833,4252,347,1201,0,2,0,0,0,0,20191203
201911,9호선2~3단계,언주,17,2,1960,1026,3470,8748,6369,15052,9785,47226,9397,39701,9574,18873,11154,13515,12922,11285,13389,14671,14409,13104,16213,11646,20594,12624,32331,14079,50914,17045,25944,13326,15773,8506,14638,7363,10489,7025,4631,5132,714,2082,4,51,0,0,0,0,20191203
201911,9호선2~3단계,올림픽공원(한국체대),9,0,1341,289,5858,3801,13959,4889,17018,15619,11340,10792,8207,10332,8948,10600,9575,11711,9998,18486,9886,18980,11175,18907,13107,21535,22858,22637,19884,23597,11903,21916,13180,10473,20930,9212,28796,9836,8884,6214,1850,2053,0,2,0,0,0,0,20191203
201911,9호선2~3단계,종합운동장,17,0,1296,303,3971,1819,10299,4475,13362,9540,9002,7643,6220,4743,6628,5098,7134,5550,7999,6269,6913,6153,7344,6284,8958,7260,11258,9988,13394,15735,8211,12577,6988,7593,7382,6750,6630,6051,3209,4641,534,1306,0,21,0,0,0,0,20191203
201911,9호선2~3단계,중앙보훈병원,9,1,2359,363,9409,5095,32409,10436,33457,15824,21674,13021,16684,12776,15658,10040,15415,10415,12449,12602,14898,13014,16411,11408,16754,12756,19461,14435,14978,25507,7628,22656,5716,13073,4661,13126,3230,13551,1114,8550,180,2171,0,216,0,0,0,0,20191203
201911,9호선2~3단계,한성백제,0,0,802,240,2238,1236,5953,1472,8264,5108,4764,5025,3233,3223,3534,3022,3972,3095,4162,3806,4389,4016,4715,3841,5347,4552,7051,4650,7490,6074,3368,5953,2451,3527,2647,3157,1945,3382,717,2226,138,752,0,1,0,0,0,0,20191203
